2011-02-01 01:59:56.749686	T002	18
2011-02-01 02:05:00.03105	T005	18.5
2011-02-01 02:05:00.132113	T003	18
2011-02-01 02:05:00.26618	T002	17.5
2011-02-01 02:05:00.74295	T004	18.5
2011-02-01 02:10:03.565934	T005	18
2011-02-01 02:10:03.658086	T003	17.5
2011-02-01 02:10:03.785084	T002	17
2011-02-01 02:15:07.093302	T005	22
2011-02-01 02:15:07.174482	T003	18.5
2011-02-01 02:15:07.316638	T002	19
2011-02-01 02:20:10.627219	T001	17.5
2011-02-01 02:20:10.708446	T005	20.5
